			Token			Clase

0			int			Palabras Reservadas
1			maxKeyframes			Variables
2			=			Operadores
3			100			Numeros
4			;			Simbolos Especiales
5			int			Palabras Reservadas
6			currentFrame			Variables
7			=			Operadores
8			0			Numeros
9			;			Simbolos Especiales
10			float			Palabras Reservadas
11			rotationSpeed			Variables
12			=			Operadores
13			2.5			Numeros
14			;			Simbolos Especiales
15			bool			Palabras Reservadas
16			isShipActive			Variables
17			=			Operadores
18			true			Palabras Reservadas
19			;			Simbolos Especiales
20			bool			Palabras Reservadas
21			hasCollided			Variables
22			=			Operadores
23			false			Palabras Reservadas
24			;			Simbolos Especiales
25			bool			Palabras Reservadas
26			renderTorus			Variables
27			=			Operadores
28			true			Palabras Reservadas
29			;			Simbolos Especiales
30			float			Palabras Reservadas
31			newPosition			Variables
32			=			Operadores
33			currentFrame			Variables
34			+			Operadores
35			rotationSpeed			Variables
36			*			Operadores
37			maxKeyframes			Variables
38			-			Operadores
39			10			Numeros
40			/			Operadores
41			2			Numeros
42			;			Simbolos Especiales
43			float			Palabras Reservadas
44			offsetPosition			Variables
45			=			Operadores
46			(			Simbolos Especiales
47			currentFrame			Variables
48			+			Operadores
49			rotationSpeed			Variables
50			)			Simbolos Especiales
51			*			Operadores
52			maxKeyframes			Variables
53			;			Simbolos Especiales
54			print			Palabras Reservadas
55			(			Simbolos Especiales
56			"Prueba de cadena en test1"			Cadenas
57			)			Simbolos Especiales
58			;			Simbolos Especiales
59			print			Palabras Reservadas
60			(			Simbolos Especiales
61			"Iniciando simulacion de cuadros"			Cadenas
62			)			Simbolos Especiales
63			;			Simbolos Especiales
64			if			Palabras Reservadas
65			(			Simbolos Especiales
66			currentFrame			Variables
67			<			Operadores
68			maxKeyframes			Variables
69			&&			Operadores Logicos
70			isShipActive			Variables
71			==			Operadores
72			true			Palabras Reservadas
73			||			Operadores Logicos
74			!			Operadores Logicos
75			renderTorus			Variables
76			)			Simbolos Especiales
77			{			Simbolos Especiales
78			currentFrame			Variables
79			++			Operadores
80			;			Simbolos Especiales
81			}			Simbolos Especiales
82			else			Palabras Reservadas
83			if			Palabras Reservadas
84			(			Simbolos Especiales
85			hasCollided			Variables
86			||			Operadores Logicos
87			currentFrame			Variables
88			>=			Operadores
89			10			Numeros
90			&&			Operadores Logicos
91			renderTorus			Variables
92			)			Simbolos Especiales
93			{			Simbolos Especiales
94			isShipActive			Variables
95			=			Operadores
96			false			Palabras Reservadas
97			;			Simbolos Especiales
98			}			Simbolos Especiales
99			print			Palabras Reservadas
100			(			Simbolos Especiales
101			"Estado de la nave actualizado"			Cadenas
102			)			Simbolos Especiales
103			;			Simbolos Especiales
104			while			Palabras Reservadas
105			(			Simbolos Especiales
106			isShipActive			Variables
107			&&			Operadores Logicos
108			!			Operadores Logicos
109			hasCollided			Variables
110			)			Simbolos Especiales
111			{			Simbolos Especiales
112			currentFrame			Variables
113			=			Operadores
114			currentFrame			Variables
115			+			Operadores
116			1			Numeros
117			;			Simbolos Especiales
118			if			Palabras Reservadas
119			(			Simbolos Especiales
120			currentFrame			Variables
121			==			Operadores
122			50			Numeros
123			)			Simbolos Especiales
124			{			Simbolos Especiales
125			hasCollided			Variables
126			=			Operadores
127			true			Palabras Reservadas
128			;			Simbolos Especiales
129			}			Simbolos Especiales
130			}			Simbolos Especiales
131			print			Palabras Reservadas
132			(			Simbolos Especiales
133			"Bucle principal finalizado"			Cadenas
134			)			Simbolos Especiales
135			;			Simbolos Especiales
136			for			Palabras Reservadas
137			(			Simbolos Especiales
138			int			Palabras Reservadas
139			i			Variables
140			=			Operadores
141			0			Numeros
142			;			Simbolos Especiales
143			i			Variables
144			<			Operadores
145			maxKeyframes			Variables
146			;			Simbolos Especiales
147			i			Variables
148			++			Operadores
149			)			Simbolos Especiales
150			{			Simbolos Especiales
151			if			Palabras Reservadas
152			(			Simbolos Especiales
153			!			Operadores Logicos
154			isShipActive			Variables
155			)			Simbolos Especiales
156			{			Simbolos Especiales
157			break			Palabras Reservadas
158			;			Simbolos Especiales
159			}			Simbolos Especiales
160			}			Simbolos Especiales
