			Token			Clase

0			int			Palabras Reservadas
1			maxFrames			Variables
2			=			Operadores
3			60			Numeros
4			;			Simbolos Especiales
5			int			Palabras Reservadas
6			currentFrame			Variables
7			=			Operadores
8			0			Numeros
9			;			Simbolos Especiales
10			bool			Palabras Reservadas
11			engineReady			Variables
12			=			Operadores
13			false			Palabras Reservadas
14			;			Simbolos Especiales
15			int			Palabras Reservadas
16			shipVelocity			Variables
17			;			Simbolos Especiales
18			void			Palabras Reservadas
19			initGraphicsEngine			Variables
20			(			Simbolos Especiales
21			)			Simbolos Especiales
22			{			Simbolos Especiales
23			engineReady			Variables
24			=			Operadores
25			true			Palabras Reservadas
26			;			Simbolos Especiales
27			print			Palabras Reservadas
28			(			Simbolos Especiales
29			engineReady			Variables
30			)			Simbolos Especiales
31			;			Simbolos Especiales
32			return			Palabras Reservadas
33			;			Simbolos Especiales
34			}			Simbolos Especiales
35			int			Palabras Reservadas
36			getShipSpeed			Variables
37			(			Simbolos Especiales
38			)			Simbolos Especiales
39			{			Simbolos Especiales
40			int			Palabras Reservadas
41			inputSpeed			Variables
42			;			Simbolos Especiales
43			read			Palabras Reservadas
44			(			Simbolos Especiales
45			inputSpeed			Variables
46			)			Simbolos Especiales
47			;			Simbolos Especiales
48			if			Palabras Reservadas
49			(			Simbolos Especiales
50			inputSpeed			Variables
51			<			Operadores
52			0			Numeros
53			)			Simbolos Especiales
54			{			Simbolos Especiales
55			return			Palabras Reservadas
56			0			Numeros
57			;			Simbolos Especiales
58			}			Simbolos Especiales
59			return			Palabras Reservadas
60			inputSpeed			Variables
61			*			Operadores
62			2			Numeros
63			;			Simbolos Especiales
64			}			Simbolos Especiales
65			void			Palabras Reservadas
66			updateScene			Variables
67			(			Simbolos Especiales
68			)			Simbolos Especiales
69			{			Simbolos Especiales
70			if			Palabras Reservadas
71			(			Simbolos Especiales
72			!			Operadores Logicos
73			engineReady			Variables
74			)			Simbolos Especiales
75			{			Simbolos Especiales
76			return			Palabras Reservadas
77			;			Simbolos Especiales
78			}			Simbolos Especiales
79			shipVelocity			Variables
80			=			Operadores
81			getShipSpeed			Variables
82			(			Simbolos Especiales
83			)			Simbolos Especiales
84			;			Simbolos Especiales
85			currentFrame			Variables
86			=			Operadores
87			currentFrame			Variables
88			+			Operadores
89			1			Numeros
90			;			Simbolos Especiales
91			print			Palabras Reservadas
92			(			Simbolos Especiales
93			currentFrame			Variables
94			)			Simbolos Especiales
95			;			Simbolos Especiales
96			}			Simbolos Especiales
97			void			Palabras Reservadas
98			mainRenderLoop			Variables
99			(			Simbolos Especiales
100			)			Simbolos Especiales
101			{			Simbolos Especiales
102			initGraphicsEngine			Variables
103			(			Simbolos Especiales
104			)			Simbolos Especiales
105			;			Simbolos Especiales
106			while			Palabras Reservadas
107			(			Simbolos Especiales
108			currentFrame			Variables
109			<			Operadores
110			maxFrames			Variables
111			&&			Operadores Logicos
112			engineReady			Variables
113			==			Operadores
114			true			Palabras Reservadas
115			)			Simbolos Especiales
116			{			Simbolos Especiales
117			updateScene			Variables
118			(			Simbolos Especiales
119			)			Simbolos Especiales
120			;			Simbolos Especiales
121			}			Simbolos Especiales
122			}			Simbolos Especiales
